created_at,entry_id,field1,field2,field3,field4,field5
2020-03-01 17:47:27 UTC,1,78,27.1,55,350,8.1
2020-03-03 17:47:50 UTC,2,75,28.1,57,370,7.1
2020-03-05 17:48:06 UTC,3,70,27.5,59,387,6.5
2020-03-07 17:48:22 UTC,4,79,27.9,67,405,7.4
2020-03-09 17:48:44 UTC,5,80,27.8,67,504,7.9
2020-03-11 17:49:02 UTC,6,85,28.2,65,500,8.4
2020-03-13 17:49:19 UTC,7,92,28.4,70,492,9.4
2020-03-15 17:49:35 UTC,8,90,28.6,70,487,9.8
2020-03-17 17:49:50 UTC,9,86,28.9,68,451,9.6
2020-03-19 17:50:13 UTC,10,78,29.7,65,399,8.4
2020-03-21 17:50:29 UTC,11,72,28.4,62,394,9.1
2020-03-23 17:50:46 UTC,12,68,28.3,58,357,7.2
2020-03-25 17:51:02 UTC,13,62,28.4,59,341,7.3
2020-03-27 17:51:20 UTC,14,65,28.6,48,334,7.6
2020-03-29 17:51:36 UTC,15,68,28.7,45,344,7.7
2020-03-31 17:51:51 UTC,16,75,27.9,51,364,6.9
2020-04-02 17:52:10 UTC,17,75,27.2,54,402,6.3
2020-04-04 17:54:43 UTC,18,79,26.9,55,413,6.9
2020-04-06 17:54:59 UTC,19,78,27,53,486,6.4
